Title,Cast,Overview,Language,Genres,Primary_Mood,Moods,Genres_Source,Rating,release_year,has_release_year,Popularity_Scaled,Vote_Count_Scaled,Rating_Scaled,action,adventure,animation,comedy,crime,documentary,drama,family,fantasy,history,horror,music,mystery,romance,science fiction,thriller,tv movie,war,western,Language_english,Language_hindi,Language_kannada,Language_telugu,mood_admiration,mood_amusement,mood_anger,mood_approval,mood_caring,mood_confusion,mood_curiosity,mood_desire,mood_excitement,mood_fear,mood_joy,mood_love,mood_neutral,mood_optimism,mood_realization,mood_sadness,mood_surprise
hit: the third case,"nani, srinidhi shetty, komalee prasad, rao ramesh, surya srinivas",the homicide intervention team (hit) sends ruthless police officer arjun sarkaar to find a group of killers and stop their grisly murder spree.,telugu,"crime, thriller, action",anger,"anger, excitement",original,7.4,2025.0,1,1.0014302770066814,0.1979942718114574,0.981309828250435,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
rajanna,"annie, nagarjuna akkineni, sneha, nasaar, shweta menon","the film is set in the nelakondapalli village of khammam district in nizam princely state of hyderabad of the late 1940s. the feudal society is under the vice-like grip of an aristocratic family and its head, a dorasani (shwetha menon). mallamma (baby annie) is the darling of the village, who is living in perpetual humiliation. they seek solace in her songs. brought up by sambayya, an old man, she develops a mysterious attachment to a basil tree which is regarded as holy by the entire village.",telugu,drama,caring,caring,original,4.0,2011.0,1,0.8970906329930199,-0.6190468013418342,-1.6491217361991524,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sita ramam,"dulquer salmaan, mrunal thakur, rashmika mandanna, sumanth, gautham vasudev menon","afreen, a rebellious pakistani student sets ablaze the car of an indian in london. angered afreen returns to pakistan to ask for money from her grandfather that she has to pay in a month's time as damages. however, she gets to know that he is no more and the only thing he has left for her is a letter-delivering task, written by ram to sita. as afreen sets out to find ram, there begins her journey of discovering the secret behind the 20-year-old letter.",telugu,"history, romance, drama",curiosity,curiosity,original,7.783,2022.0,1,0.897506192942692,0.5351883094165027,1.2776202074222562,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
shivam,"ram pothineni, raashii khanna, abhimanyu singh, brahmanandam, jayaprakash reddy",the story of a boy (ram) who wants to make his love life and marriage a success. the movie is directed by srinivas reddy and produced by ravi kishore. the film is produced under sri sravanthi movies banner.,telugu,"action, comedy, romance",love,love,original,4.857,2015.0,1,0.8373748841375028,-0.2805018344982548,-0.9860982506893592,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
salaar: part 1 - ceasefire,"prabhas, prithviraj sukumaran, shruti haasan, easwari rao, jagapati babu","set in the fictional dystopian city-state of khansaar, the film follows the friendship between deva, a tribesman, and varadha, the prince of khansaar. when a coup d'tat is planned by his father's ministers and his relatives, varadha enlists deva's help to become khansaar's undisputed ruler.",telugu,"action, crime, drama",excitement,"excitement, anger",original,6.7,2023.0,1,0.8238841866924568,0.5587312040363221,0.439750388510814,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
sye raa narasimha reddy,"chiranjeevi, sudeep, vijay sethupathi, ravi kishan, jagapati babu","gwalior fort, during the indian rebellion of 1857. in a moment of despair, lakshmibai, rani of jhansi, encourages her men by telling them the heroic story of uyyalawada narasimha reddy, a brave telugu chieftain who took up arms in 1846 to protest against the numerous arbitrariness and crimes perpetrated by the leaders and military forces of the east india company.",telugu,"drama, history, war",approval,"approval, admiration",original,6.379,2019.0,1,0.8143064982909007,0.2189195863039934,0.191406702573073,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
kingdom,"vijay deverakonda, bhagyashri borse, satyadev kancharana, venkitesh v p, ronit kamra","soori, a modest police constable, is unintentionally dragged into a dangerous undercover spy operation in sri lanka for the indian government . his journey is intimately linked to his estranged brother siva, and the risks involved on their reunion.",telugu,"action, thriller",excitement,"excitement, anger",original,6.0,2025.0,1,0.7596635625376315,-0.758997940807967,-0.101809051228807,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
b?hubali 2: the conclusion,"prabhas, rana daggubati, anushka shetty, sathyaraj, nasaar",,telugu,"action, adventure, fantasy",excitement,"excitement, anger",original,7.462,2017.0,1,0.7513357122853904,-0.9982459939628232,1.0292765214845152,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
anjaneyulu,"ravi teja, nayanthara, prakash raj, sonu sood, nasaar","employed with hmtv, pavan/abhimanyu lives in hyderabad and is in constant touch with his retired father, krishnamurthy, and mother. his boss, sudarshan babu, hires a creative consultant, surya/prabhakar garu, their tv channel undergoes a number of changes, and he gets to interview various people. he meets with anjali, an employee with airtel, and both dramatically fall in love. while investigating corrupt politicians, he comes across evidence and decides to join the gang of a gangster named bada. still involved in gathering evidence, his world will come crashing around him when he will be told that his parents and many others have been killed after their bus was torched by hooligans. he sets out to also trace who was responsible behind their killing - not knowing that his life is also in danger.",telugu,"action, comedy",love,love,original,5.7,2009.0,1,0.7096707837421096,-0.3797987481869782,-0.3339059539743587,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
game changer,"ram charan, anjali, kiara advani, s. j. suryah, srikanth","ram, a newly appointed district collector, takes charge in a city in andhra pradesh and immediately confronts the deeply entrenched corruption and inefficiency plaguing the government. determined to bring reforms, he initiates sweeping changes, sparking a fierce conflict with a powerful state minister.",telugu,"action, drama",approval,"approval, excitement",original,4.7,2025.0,1,0.7036249957059665,-0.0203284668508627,-1.1075622964595313,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
hi nanna,"nani, mrunal thakur, baby kiara khanna, jayaram, shilpa tulaskar","six-year-old mahi, a spirited child with cystic fibrosis, shares a deep yet complex bond with her father, viraj, a dedicated single parent and successful fashion photographer. her curiosity about her absent mother leads to a journey of discovery when she runs away with her loyal dog, pluto. a chance encounter with a kind woman named yashna sparks unexpected revelations, intertwining their lives in ways they never anticipated. set against a backdrop of love, sacrifice, and redemption, mahis story is a heartfelt exploration of family, resilience, and the enduring power of connection.",telugu,"drama, family, romance",caring,"caring, love",original,7.91,2023.0,1,0.616257005735387,0.3588707257701261,1.3758745629178728,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
robinhood,"nithiin, sreeleela, vennela kishore, rajendra prasad, ketika sharma","ram, a modern-day robin hood, is a master thief who unexpectedly finds himself switching sides. when fate forces him to become the personal security officer for neera, a rollercoaster ride of action, comedy, and unexpected twists follows.",telugu,action,surprise,"surprise, amusement",original,5.25,2025.0,1,0.5178700848161908,-0.3265917943458385,-0.6820513080926865,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
uppu kappurambu,"keerthy suresh, suhas, babu mohan, shatru, rameshwari talluri","a fictional village faces an extraordinary crisis as the cemetery runs out of space. uproarious chaos ensues as the community rallies together, finding inventive solutions to overcome this unusual predicament.",telugu,"comedy, drama",optimism,optimism,original,7.3,2025.0,1,0.496914683453431,-0.5197498876531109,0.9039441940019172,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
aarya,"allu arjun, anuradha mehta, siva balaji, subbaraju, sunil varma","aarya is a happy-go-lucky young man who goes to college. when he falls in love with geetha at first sight, he proposes to her - in front of her boyfriend ajay, who recently also proposed to her. she bluntly refuses, but ...",telugu,"drama, romance, action",joy,"joy, love",original,6.6,2004.0,1,0.4880238036103367,0.2750149417691106,0.3623847542622963,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
hit: the 2nd case,"adivi sesh, meenakshi chaudhary, komalee prasad, maganti srinath, rao ramesh","krishna dev aka kd, a laidback cop working in andhra pradesh state hit, takes on a gruesome murder case. as kd unravels the layers of the crime, the stakes rise unbelievably high and the threat comes unusually close.",telugu,"crime, thriller, action",approval,approval,original,6.97,2022.0,1,0.475697223162207,0.2189195863039934,0.6486376009818103,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
munna,"prabhas, ileana d'cruz, prakash raj, rahul dev, kota srinivasa rao","munna (prabhas) is a college student. his aim is to finish off mafia don kakha (prakash raj) who keeps the entire city under his grip. munna has personal vengeance to take on kakha. an honest politician srinivasa rao (kota srinivasa rao) relentlessly works to expose kakha but gets killed. meanwhile, munnas classmate nidhi (ileana d'cruz) falls in love with him. the twist in the tale is that kakha is none other than his estranged father who tries to sell off his mother and was responsible for the death of his mother and his kid sister. another don in the city named aatma, who is the opposition of kakha (rahul dev) asks munna to join him. but munna refuses his proposal. munna starts to beat kakha and the mind game begins. kakha's second wife and son-daughter left him and join munna. after some incidents including the death of his best friend, munna finds out that aatma was working for kakha all along.",telugu,"action, romance",love,"love, sadness",original,4.7,2007.0,1,0.4415433527415955,-0.0005995555659894,-1.1075622964595313,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
bhairavam,"bellamkonda srinivas, manchu manoj, nara rohith, aditi shankar, anandhi",the relationship between three childhood friends begins to crumble as their loyalty is tested.,telugu,"action, crime, thriller",excitement,"excitement, anger",original,6.0,2025.0,1,0.4377880638130593,-0.9982459939628232,-0.101809051228807,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
the family star,"vijay deverakonda, mrunal thakur, rohini hattangadi, vasuki anand, abhinaya","govardhan, a devoted architect from hyderabad, juggles supporting his extended family while seeking a partner who understands his commitments. when he discovers indu thesis on his family, he challenges her, leading to unexpected twists as they navigate misunderstandings and eventually find love amidst sacrifice and understanding",telugu,"family, romance, comedy, drama, action",caring,"caring, surprise",original,4.583,2024.0,1,0.4003723570263065,-0.1129229955806623,-1.1980800885302965,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
shaakuntalam,"samantha ruth prabhu, dev mohan, aditi balan, ananya nagalla, sachin khedekar","shakuntala, daughter of meneka and rishi vishwamitra lives in forest with her teacher, rishi kanva. in the forest she meets king dushyant, falls in love with him and the two get married. after she has their baby (prince bharata), dushyant leaves her in the forest with a promise to come back for her soon. however, due to a sage's curse, dushyant forgets all about shakuntala, until destiny brings them together again.",telugu,"romance, history, fantasy",love,love,original,4.2,2023.0,1,0.3813937387676696,-0.3265917943458385,-1.4943904677021178,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8 vasantalu,"ananthika sanilkumar, ravi theja duggirala, hanu reddy, kanna pasunoori",a talented karate student embarks on a journey of self-discovery where she experiences both love and loss.,telugu,"drama, romance",curiosity,"curiosity, love",original,7.8,2025.0,1,0.3801559146930258,-0.4427292176954577,1.2907723652445036,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
the raja saab,"prabhas, malavika mohanan, nidhhi agerwal, riddhi kumar, brahmanandam","a young heir embraces both his royal heritage and rebellious spirit as he rises to power, establishing unprecedented rules during his reign as raja saab.",telugu,"horror, comedy, romance",approval,"approval, excitement",original,6.0,2025.0,1,0.3502771714334767,-0.9982459939628232,-0.101809051228807,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
virupaksha,"sai durgha tej, samyuktha, brahmaji, rajiv kanakala, ravi krishna","set in a village named rudravanam in 1990's, surya along with his mother, visit there after a long time. suddenly a series of mysterious deaths occur due to an unknown person's occult practice and whole village is scared. will surya find the person causing the deaths and save the village?",telugu,"horror, mystery, thriller",caring,"caring, fear",original,7.172,2023.0,1,0.3303167757525546,0.1757180280803872,0.8049161821638151,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
andarivaadu,"chiranjeevi, rimi sen, tabu, prakash raj, hema","andarivaadu (telugu: ) is a 2005 tollywood comedy film directed by srinu vytla. the film stars chiranjeevi, rimi sen, tabu and prakash raj. this movie was a hit. govinda rajulu (chiranjeevi) is a 'mesthri' who drinks a lot and lives a care-free life. his son siddartha (chiranjeevi), on the other hand, is a popular tv show host and is a more disciplined man the opposite of his dad. the son gets his father married to shanti (tabu) to sober him.",telugu,"comedy, drama",amusement,"amusement, caring",original,5.0,2005.0,1,0.2295686001785377,-0.6190468013418342,-0.8754653937139797,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
arjun s/o vyjayanthi,"kalyan ram, vijayashanti, saiee manjrekar, sohail khan, arjun rampal","arjun, an ips aspirant turned kind-hearted gangster, learns that pathaan, a notorious terrorist, wants to exact revenge on his principled mother vyjayanthi, an honest ips officer, and sets out to protect vyjayanthi and their bond is put to the test.",telugu,"action, crime, thriller",caring,"caring, anger",original,6.167,2025.0,1,0.2236189826488041,-0.5197498876531109,0.0273915579662166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,1.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
saaho,"prabhas, shraddha kapoor, neil nitin mukesh, chunky pandey, mandira bedi","a battle for power ensues as warring gangters thrive to gain possession of a ""black box"" that can make them richer than they already are, and an undercover cop intervenes with the help of his sharp intellect and an instinct to kill.",telugu,"action, adventure, thriller",excitement,excitement,original,5.9,2019.0,1,0.2227907057155721,0.5947181407788517,-0.179174685477324,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
maharshi,"mahesh babu, pooja hegde, allari naresh, jagapati babu, prakash raj","rishi kumar is a billionaire and the ceo of origins, someone who has always strived for the success he now owns. his friend ravi needs help, how will he come through?",telugu,"drama, action",sadness,"sadness, neutral",original,7.0,2019.0,1,0.2119796701803813,0.1979942718114574,0.6718472912563657,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
srivalli,neha hinge,"srivalli is a movie about a neuroscientist srivalli(title role played by neha hinge) who undergoes an experiment about brain wave simulation. the story revolves around the effects and the repercussions she faces once her brain starts reacting to the experiment. srivalli loses track of the past, present and future unable to distinguish between simulation and reality leading to thrilling circumstances.",telugu,thriller,excitement,"excitement, optimism",original,6.0,2017.0,1,0.1544199030274581,-0.9982459939628232,-0.101809051228807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
hanu-man,"teja sajja, vinay rai, amritha aiyer, varalaxmi sarathkumar, vennela kishore","in a small village, hanumanthu, a petty thief, finds a mysterious gem, that gives him god-like powers. will he succeed in keeping these powers from falling into the wrong hands and save his village?",telugu,"fantasy, action, comedy, science fiction",excitement,excitement,original,6.4,2024.0,1,0.1345947650441558,0.1519043119638736,0.2076534857652623,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ala vaikunthapurramuloo,"allu arjun, pooja hegde, murali sharma, jayaram, sushanth","fate plays a vital role in connecting the life of bantu, a son who seeks validation from his cold-hearted father with the life of raj, whose millionaire father wishes that he was more assertive.",telugu,"action, comedy, drama",love,love,original,6.651,2020.0,1,-0.0229985121389786,0.5699266280315755,0.4018412277290402,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
lucky baskhar,"dulquer salmaan, meenakshi chaudhary, rajkumar kasireddy, ramki, maganti srinath",a cash-strapped bank cashier embarks on a risky investment scheme and soon gets drawn into the murky world of money laundering.,telugu,"drama, thriller, crime",sadness,"sadness, neutral",original,7.436,2024.0,1,0.0334394682996198,0.3911523651187299,1.009161456579901,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
evaru,"adivi sesh, regina cassandra, naveen chandra, murali sharma, pavitra lokesh","when a high-ranking police officer is killed by his alleged rape victim, sub-inspector vikram vasudev is entrusted with investigating what seems like an open-and-shut case. however, as he delves deeper, vikram finds the case spiralling into a dark tale filled with unexpected surprises.",telugu,"thriller, crime",surprise,"surprise, approval",original,7.092,2019.0,1,-0.0304823088306877,0.2662761970403264,0.7430236747650013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
radhe shyam,"prabhas, pooja hegde, sachin khedekar, krishnam raju, sathyaraj","vikramaditya, a world-renowned palmist, believes love does not exist in his stars, until he meets prerana. but when destiny tries to pull them apart, will love prevail?",telugu,"drama, romance",love,love,original,5.1,2022.0,1,0.0308554250336028,0.187035828244208,-0.7980997594654627,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
eega,"sudeep, samantha ruth prabhu, nani, adithya menon, thagubothu ramesh","nani is a flower decorator, madly in love with his neighbor bindhu. he gets killed by the baddie, sudeep, a powerful businessman. nani comes back as a housefly to get his revenge.",telugu,"fantasy, action",anger,"anger, excitement",original,7.1,2012.0,1,-0.1248533192292832,0.8649945315312979,0.7492129255048826,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
court: state vs. a nobody,"priyadarshi pullikonda, harsh roshan, sridevi, sivaji sontineni, sai kumar","a determined lawyer takes on a high-stakes case to defend a 19-year-old boy, challenging a system that has already branded him guilty.",telugu,"drama, romance, crime",approval,approval,original,7.625,2025.0,1,-0.0150322469663459,-0.0203284668508627,1.1553825053095983,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
nagavalli,"venkatesh, richa gangopadhyay, anushka shetty, poonam kaur, kamalinee mukherjee","after a family member receives a nagavalli/chandramukhi's portrait as a prize in the nagavalli dance competition, various characters start having abnormal experiences. in order to save themselves and unfold the mystery, the family looks to ramachandra acharya and dr. vijay.",telugu,"action, fantasy, thriller, drama",caring,"caring, confusion",original,5.833,2010.0,1,0.0712262124882232,-0.1129229955806623,-0.2310096604238307,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
eagle,"ravi teja, anupama parameswaran, kavya thapar, navdeep, vinay rai","a journalist pieces together the story of eagle, a former professional sniper who falls in love with rachana, and on a mission to redeem himself by working towards eradicating illegal arms from this world.",telugu,"action, thriller",love,love,original,5.7,2024.0,1,-0.1123311417568381,-0.1705837141814971,-0.3339059539743587,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
geetha govindam,"vijay deverakonda, rashmika mandanna, vennela kishore, subbaraju, rahul ramakrishna","vijay govind, a young college lecturer who dreams of marriage falls for geetha, a level-headed woman who's wary of strangers and isn't easy to convince. while things seem to go smoothly, vijay makes a terrible mistake which not only derails any hope for his love story, but also potential repercussions with his family.",telugu,romance,optimism,"optimism, caring",original,6.9,2018.0,1,-0.0738421605954991,0.4778965507437228,0.5944816570078487,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
