Title,Genres,Rating,Popularity,Release Date,Cast,Overview,Vote_Count,TMDB_ID
Yugandhar,Action,0.0,0.1495,01-01-1993,"Mithun Chakraborty, Kabir Bedi, Gulshan Grover, Sangeeta Bijlani","Yugandhar was the story of a simpleton who became a legend. Mithun played a Robinhood type character and Kabir Bedi, the Police officer chasing Mithun.",0.0,
Dil Aur Mohabbat,Action,0.0,0.1483,01-01-1968,"Ashok Kumar, Joy Mukherjee, Sharmila Tagore, Bela Bose, Nazir Hussain","Widowed by the sudden passing of his wife, Superintendent of Police, Choudhry, brings up his son, Rajesh, on his own, teaches him all known good values, and when he grows up sends him to College in Bombay, and remits money to him regularly. Choudhry would like to transfer to Bombay Police, so that he can be close to his son, and then one day out of the blue, his transfer is approved, and a delighted Choudhry writes to his son to pick him from the railway station. Upon arrival in Bombay, he does not find his son at the Railway Station, but when browsing through a newspaper he sees his son's photograph - wanted for the murder of a card-sharp. Shocked and dismayed, Choudhry attempts to piece his life together and attempts to find Rajesh before the City Police do - for he may well face the death sentence. Choudhry does find him, but only after Rajesh is accused of killing a woman named Kishori, and this time Choudhry is quite sure that there is no hope for Rajesh.",0.0,
Chaar Maharathi,Action,0.0,0.1478,27-09-1985,"Tina Munim, Master Bunty, Mithun Chakraborty, Mohan Choti, Bharat Kapoor","Raju, John, Suleman and Shakti seize a hidden treasure of the deceased Anil Kumar. They face Kumar's widow Sharada who identifies Raju as her lost son. They then have to deal with Bandit Devi Singh.",0.0,
Farz Ki Jung,Action,7.3,0.1464,17-03-1989,"Shashi Kapoor, Govinda, Neelam Kothari, Raza Murad, Amrish Puri",Drama about a policeman's decline into the underworld after being busted for possession of illegal narcotics.,3.0,
Agnichakra,Action,7.0,0.8195,26-02-1997,"Naseeruddin Shah, Govinda, Dimple Kapadia, Anupam Kher, Beena Banerjee",,1.0,
Daku Ganga Jamuna,Action,4.0,0.143,15-09-2000,"Sapna Sappu, Amit Pachori, Durgesh Nandini, Dinesh Hingoo",Bhura and Jwala are arch rivals vying for each others blood. In a fierce altercation Bhura kills Jwala. Jwala's daughter Jamuna swears to take vengeance and kill Bhura and his daughter Ganga.  Will Jamuna keep her promise and end the lives of Bhura and Ganga? Or will Bhura and his daughter Ganga manage to maintain their supremacy by eliminating Jamuna?,1.0,
Qaidi,Action,0.0,0.1418,03-05-2002,"Mithun Chakraborty, Raza Murad, Jhony Nirmal, Nirmal Pandey, Vishwajeet Pradhan","Ravi Verma is an efficient and sincere C.B.I officer, He always stands against all anti-social elements who are trying to destruct the peace and prosperity of our nation. Rudra and Mazdittia are rival Mafia Dons. Kali Shankar, a Mazdittia lookalike, kills Ravi Vermas son Bunty, but Kali goes in coma stage, when Ravi Verma shoots him. DSP asks Ravi Verma to disguise as Kali and enter the Mafia gang to find out their whereabouts. Ravi Verma as Kali eliminates Rudra, But when Ravi Verma is on a US mission, Kali awake from coma and enters Ravi Vermas house and tries to molest Ravi Vermas sister and wife, but fails. In the Climax, Ravi Verma rushes back from US. Kali and Mazdittia captures him for the secret file, but Ravi Verma eliminates everyone saving himself, his family and of course, the Nation.",0.0,
Devta,Action,0.0,0.1417,02-10-1998,"Mithun Chakraborty, Mushtaq Khan, Aditya Pancholi, Kiran Kumar, Tej Sapru","Balram, a rogue, who works for crime lord Bajrang decides to kill inspector Rakesh for sending him to prison. However, he changes his mind when he learns a secret about Rakesh.",0.0,
Farishta Ya Qatil,Action,0.0,0.1384,03-09-1977,"Shashi Kapoor, Rekha, Jayshree Talpade, Bindu Desai, Utpal Dutt",A convicted murderer saves the lives of the passengers who meet with a train accident in a desert and protects them from a gang of criminals.,0.0,
Inquilaab,Action,5.4,0.1382,25-01-1984,"Amitabh Bachchan, Shakti Kapoor, Kader Khan, Sridevi",A wife becomes suspicious of her police officer-turned-politician husband.,5.0,
120 Bahadur,Action,6.4,1.907,21-11-2025,Farhan Akhtar,,17.0,
Badle Ki Aag,Action,5.0,0.1357,27-05-1982,"Sunil Dutt, Dharmendra, Jeetendra, Reena Roy, Smita Patil","Beautiful and talented Geeta, a prostitute, has three suitors. One is Lakhan Singh, a dacoit with a heart of gold, who saved her life, loves her and will do anything for her. The second is Police Inspector Amar Verma, who loves her with all his heart, and will do anything for her. And the third is Sher Singh, a dacoit, who loots, plunders, and has his way with women. When he sees Geeta he falls head over heels in love with her, and wants her - by hook or by crook. And he will make sure that no one will get in his way. Watch how the three battle each other, leaving the final decision to Geeta to chose who she will spend the rest of her life with.",1.0,
Jaan Se Pyara,Action,4.8,0.1355,06-05-1992,"Govinda, Divya Bharti, Aruna Irani, Raza Murad, Kiran Kumar",A man tries to lead a double life as a Cop and at the same time look after his twin brother and devoted mother. But then his dangerous police work comes in the way of his family life causing tragedy.,3.0,
Squad,Action,0.0,0.1346,12-11-2021,"Pooja Batra, Mohan Kapur, Malvika Raaj, Rinzing Denzongpa, Abdullah Osman","In the course of an action-packed battle royal of elite military forces, a small child forms an emotional bond with the reluctant guardian sent to protect her.",0.0,
Ganga Aur Suraj,Action,10.0,0.1317,14-02-1980,"Sunil Dutt, Shashi Kapoor, Reena Roy, Iftekhar, Aruna Irani","Shekhar and Vikram are rivals working on either side of the law, little do they know that they are actually brothers separated at birth",1.0,
Jeet Hamaari,Action,4.0,0.1281,30-05-1983,"Rajinikanth, Rakesh Roshan, Ranjeeta Kaur, Anita Raj, Padma Chavan",,1.0,
