Title,Genres,Rating,Popularity,Release Date,Cast,Overview,Vote_Count,TMDB_ID
Materialists,"Romance, Drama",6.7,141.1763,12-06-2025,"Dakota Johnson, Chris Evans, Pedro Pascal, Zo Winters, Marin Ireland","A young, ambitious New York City matchmaker finds herself torn between the perfect match and her imperfect ex.",244.0,
The Green Dinosaur,"Animation, Family, Adventure, Fantasy, Comedy",7.2,130.9182,04-10-2024,"Mikoaj Wachowski, Borys Szyc, Magorzata Kouchowska, Arkadiusz Jakubik, Piotr Polak","When the world around him is mysteriously erased, a little green dinosaur named Diplodocus must travel through the pages of a comic book and adventure through time to bring color back to his land. Alongside a wizard and two scientists, Diplos plans go awry as he learns that there may be a dimension to his world that he never considered.",9.0,
Saint Clare,"Thriller, Horror",5.0,126.5922,18-07-2025,"Bella Thorne, Ryan Phillippe, Rebecca De Mornay, Frank Whaley, Bart Johnson","In a small town a solitary woman is haunted by voices that lead her to assassinate ill intended people and get away with it, until her last kill sucks her down a rabbit hole riddled with corruption, trafficking and visions from the beyond.",13.0,
Bring Her Back,Horror,7.44,113.0787,28-05-2025,"Sally Hawkins, Billy Barratt, Sora Wong, Jonah Wren Phillips, Sally-Anne Upton","Following the death of their father, a brother and sister are introduced to their new sibling by their foster mother, only to learn that she has a terrifying secret.",397.0,
Mission: Impossible - The Final Reckoning,"Action, Adventure, Thriller",7.161,96.9465,17-05-2025,"Tom Cruise, Hayley Atwell, Ving Rhames, Simon Pegg, Esai Morales","Ethan Hunt and team continue their search for the terrifying AI known as the Entity  which has infiltrated intelligence networks all over the globe  with the world's governments and a mysterious ghost from Hunt's past on their trail. Joined by new allies and armed with the means to shut the Entity down for good, Hunt is in a race against time to prevent the world as we know it from changing forever.",981.0,
Happy Gilmore,Comedy,6.654,85.6721,16-02-1996,"Adam Sandler, Christopher McDonald, Julie Bowen, Frances Bay, Carl Weathers","Failed hockey player-turned-golf whiz Happy Gilmore  whose unconventional approach and antics on the green courts the ire of rival Shooter McGavin  is determined to win a PGA tournament so he can save his granny's house with the prize money. Meanwhile, an attractive tour publicist tries to soften Happy's image.",2960.0,
A Minecraft Movie,"Fantasy, Comedy, Family, Adventure, Action",6.4,85.3503,31-03-2025,"Jason Momoa, Jack Black, Sebastian Eugene Hansen, Emma Myers, Danielle Brooks","Four misfits find themselves struggling with ordinary problems when they are suddenly pulled through a mysterious portal into the Overworld: a bizarre, cubic wonderland that thrives on imagination. To get back home, they'll have to master this world while embarking on a magical quest with an unexpected, expert crafter, Steve.",2148.0,
The Amateur,"Thriller, Action",6.992,85.2741,09-04-2025,"Rami Malek, Holt McCallany, Danny Sapani, Rachel Brosnahan, Michael Stuhlbarg","After his life is turned upside down when his wife is killed in a London terrorist attack, a brilliant but introverted CIA decoder takes matters into his own hands when his supervisors refuse to take action.",991.0,
Intimacy,"Romance, Drama, Fantasy",6.2,80.7056,20-01-2001,"Mark Rylance, Kerry Fox, Susannah Harker, Alastair Galbraith, Philippe Calvario","Failed musician Jay abandoned his family and now earns a living as head bartender in a trendy London pub. Every Wednesday afternoon, a woman comes to his house for graphic, almost wordless, sex. One day, Jay follows her and learns about her. This eventually disrupts their relationship.",526.0,
Dora and the Search for Sol Dorado,"Adventure, Comedy, Family",6.76,77.2968,02-07-2025,"Daniella Pineda, Samantha Lorraine, Jacqueline Obradors, Gabriel Iglesias, Jacob Rodriguez","Dora, Diego, and their new friends trek through the perilous dangers of the Amazonian jungle in search of the ancient and powerful treasure of Sol Dorado to keep it out of enemy hands.",78.0,
SuperKlaus,"Animation, Comedy, Family, Adventure",6.0,77.272,01-11-2024,"Harland Williams, Colm Feore, Millie Davis, Paul Van Dyck, Lucinda Davis","Santa Claus's wish comes true when he accidentally bumps his head and starts believing he's SuperKlaus. With the help of Billie and Leo his elf-xecutive assistant, SuperKlaus will take on a toy-obsessed businessman to save Christmas.",5.0,
The Ritual,"Horror, Drama, Thriller",5.9,76.9154,18-04-2025,"Dan Stevens, Abigail Cowen, Al Pacino, Patricia Heaton, Ashley Greene","Two priests, one in crisis with his faith and the other confronting a turbulent past, must overcome their differences to perform a risky exorcism.",125.0,
Marriage Unplugged,"Science Fiction, Comedy, Drama",8.7,76.4763,28-10-2024,"Nikki Amuka-Bird, Nicholas Gleaves, Sven Ironside, Julia Pilkington","Unhappy in their marriage, Suzanna and Andrew buy a male sex robot called James, who consequently uncovers the deep fractures in their relationship.",9.0,
Long Distance,"Science Fiction, Comedy, Action",6.426,74.9495,12-07-2024,"Anthony Ramos, Naomi Scott, Kristofer Hivju, Zachary Quinto, Izzy Jones","After crash-landing on an alien planet, an asteroid miner must contend with the challenges of his new surroundings, while making his way across the harsh terrain to the only other survivor  a woman who is trapped in her escape pod.",182.0,
28 Years Later,"Horror, Thriller, Science Fiction",7.1,70.3927,18-06-2025,"Jodie Comer, Aaron Taylor-Johnson, Alfie Williams, Ralph Fiennes, Edvin Ryding","Twenty-eight years since the rage virus escaped a biological weapons laboratory, now, still in a ruthlessly enforced quarantine, some have found ways to exist amidst the infected. One such group lives on a small island connected to the mainland by a single, heavily-defended causeway. When one member departs on a mission into the dark heart of the mainland, he discovers secrets, wonders, and horrors that have mutated not only the infected but other survivors as well.",828.0,
Sinners,"Horror, Action, Thriller",7.563,70.1376,16-04-2025,"Michael B. Jordan, Hailee Steinfeld, Miles Caton, Jack O'Connell, Wunmi Mosaku","Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.",2207.0,
The Cellar,Horror,7.6,68.0088,08-09-2024,"Meghan Adara, Neil James, Charlotte Marshall, Mickaela Sands, Obie Dean","When Keira Woods' daughter mysteriously vanishes in the cellar of their new house in the country, she soon discovers there is an ancient and powerful entity controlling their home that she will have to face or risk losing her family's souls forever.",12.0,
Predator: Killer of Killers,"Animation, Action, Science Fiction, Thriller",7.944,65.6031,05-06-2025,"Lindsay LaVanchy, Louis Ozawa, Rick Gonzalez, Michael Biehn, Doug Cockle","While three of the fiercest warriors in human historya Viking raider, a ninja in feudal Japan, and a WWII pilotare killers in their own right, they are merely prey for their new opponent: the ultimate killer of killers.",767.0,
The Twisters,"Action, Adventure, Drama",6.0,65.3368,28-06-2024,"Tiffany, Mark Justice, Kayla Fields, Paul Logan, Curtis Strong","A deadly patchwork of destructive cyclones is on an apocalyptic path of convergence at a populated Midwest city center. There, the twisters will merge into one mega tornado that threatens to obliterate the cities for hundreds of miles around.",64.0,
Z-O-M-B-I-E-S 4: Dawn of the Vampires,"Music, Adventure, Romance, Comedy, Family",7.067,7.6881,10-07-2025,"Meg Donnelly, Milo Manheim, Chandler Kinney, Kylee Russell, Freya Skye","A new adventure dawns for Zed and Addison when their summer road trip takes an unexpected detour, landing them in the middle of yet another monster rivalry: Daywalkers vs. Vampires. Tensions flare when Zed and Addison find themselves acting as camp counselors between the two opposing supernatural factions. With the help of Eliza and Willa, they must convince sworn enemies Nova and Victor to try to unite their warring worlds before an even greater threat endangers them all.",164.0,
A Working Man,"Action, Crime, Thriller",6.697,62.0993,26-03-2025,"Jason Statham, Jason Flemyng, Merab Ninidze, Maximilian Osinski, Cokey Falkow","Levon Cade left behind a decorated military career in the black ops to live a simple life working construction. But when his boss's daughter, who is like family to him, is taken by human traffickers, his search to bring her home uncovers a world of corruption far greater than he ever could have imagined.",1407.0,
Playboy Playmate Workout,Documentary,10.0,62.5707,01-01-1983,"Jeana Keough, Victoria Cooke, Karen Lorre, Lisa Sohm, Kym Malin","Lynda Wiesmeier, Playmate of the Month July 1982, along with other Playmates",1.0,
The Hangman,"Horror, Thriller",5.902,61.4612,30-05-2024,"LeJon Woods, Daniel Martin Berkey, Lindsey Dresbach, Jefferson Cox","Troubled father Leon takes son camping in Appalachia. Local cult summons evil Hangman demon. Son goes missing. Leon must confront cult, monster to find him amid rising body count.",51.0,
The Accountant,"Mystery, Crime, Thriller",7.138,13.8051,23-04-2025,"Ben Affleck, Jon Bernthal, Cynthia Addai-Robinson, J.K. Simmons, Allison Robertson","As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities and the body count starts to rise.",7537.0,
I Know What You Did Last Summer,"Horror, Mystery, Thriller",5.9,51.3007,16-07-2025,"Madelyn Cline, Chase Sui Wonders, Jonah Hauer-King, Tyriq Withers, Sarah Pidgeon","When five friends inadvertently cause a deadly car accident, they cover up their involvement and make a pact to keep it a secret rather than face the consequences. A year later, their past comes back to haunt them and they're forced to confront a horrifying truth: someone knows what they did last summerand is hell-bent on revenge.",118.0,
Clown in a Cornfield,"Horror, Mystery, Thriller",6.356,55.1381,08-05-2025,"Katie Douglas, Aaron Abrams, Carson MacCormac, Vincent Muller, Kevin Durand","Quinn and her father have just moved to the quiet town of Kettle Springs hoping for a fresh start. Instead, she discovers a fractured community that has fallen on hard times after the treasured Baypen Corn Syrup Factory burned down. As the locals bicker amongst themselves and tensions boil over, a sinister, grinning figure emerges from the cornfields to cleanse the town of its burdens, one bloody victim at a time.",204.0,
Sneaks,"Family, Comedy, Adventure, Animation",5.792,45.1674,17-04-2025,"Anthony Mackie, Martin Lawrence, Swae Lee, Chloe Bailey, Macy Gray","Ty, a misguided, one-of-a-kind designer sneaker, doesnt know life outside the comforts of his velvet-lined shoebox. After his sister is stolen by a shady collector, Ty must venture into New York City to find and rescue her. In his adventure, Ty meets a ragtag group of footwear friends from all walks of life who help him find the courage to step outside of his shoebox and find his sole-mate.",23.0,
The Gorge,"Romance, Science Fiction, Thriller",7.722,51.2667,13-02-2025,"Miles Teller, Anya Taylor-Joy, Sigourney Weaver, p Drs, William Houston","Two highly trained operatives grow close from a distance after being sent to guard opposite sides of a mysterious gorge. When an evil below emerges, they must work together to survive what lies within.",2857.0,
Captain America: Brave New World,"Action, Thriller, Science Fiction",6.036,52.6977,12-02-2025,"Anthony Mackie, Harrison Ford, Danny Ramirez, Shira Haas, Tim Blake Nelson","After meeting with newly elected U.S. President Thaddeus Ross, Sam finds himself in the middle of an international incident. He must discover the reason behind a nefarious global plot before the true mastermind has the entire world seeing red.",2458.0,
Sonic the Hedgehog 3,"Action, Science Fiction, Comedy, Family",7.675,46.6982,19-12-2024,"Jim Carrey, Ben Schwartz, Keanu Reeves, Idris Elba, Colleen O'Shaughnessey","Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet.",2814.0,
The Shawshank Redemption,"Drama, Crime",8.7,48.6137,23-09-1994,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler, Clancy Brown","Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",28618.0,
Interstellar,"Adventure, Drama, Science Fiction",8.458,45.6658,05-11-2014,"Matthew McConaughey, Anne Hathaway, Michael Caine, Jessica Chastain, Casey Affleck",The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,37550.0,
First Shift,"Crime, Thriller, Action",5.5,46.7119,30-08-2024,"Gino Anthony Pesi, Kristen Renton, James McMenamin, Willie C. Carpenter, Daniel Sauli","NYPD veteran Mike and rookie Angela tackle a high-stakes day on New York's toughest streets, diving headfirst into a vortex of danger and action. Their adrenaline-fueled pursuits and unexpected threats unfold as they navigate perilous encounters. Amidst the chaos, intense challenges forge unbreakable bonds.",32.0,
Influencer,"Horror, Mystery, Thriller",6.207,43.6838,18-05-2023,"Cassandra Naud, Emily Tennant, Rory J. Saper, Sara Canning, Paul Spurrier","While struggling on a solo backpacking trip in Thailand, social media influencer Madison meets CW, who travels with ease and shows her a more uninhibited way of living. But CW's interest in her takes a darker turn.",262.0,
Deadpool & Wolverine,"Action, Comedy, Science Fiction",7.585,44.9701,24-07-2024,"Ryan Reynolds, Hugh Jackman, Emma Corrin, Matthew Macfadyen, Dafne Keen","A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",7532.0,
Jurassic World Dominion,"Adventure, Action, Science Fiction",6.595,27.6448,01-06-2022,"Chris Pratt, Bryce Dallas Howard, Laura Dern, Sam Neill, Jeff Goldblum","Four years after Isla Nublar was destroyed, dinosaurs now live—and hunt—alongside humans all over the world. This fragile balance will reshape the future and determine, once and for all, whether human beings are to remain the apex predators on a planet they now share with history's most fearsome creatures.",7240.0,
The Bad Guys 2,"Family, Comedy, Crime, Adventure, Animation",8.4,51.8405,24-07-2025,"Sam Rockwell, Marc Maron, Craig Robinson, Anthony Ramos, Awkwafina","The now-reformed Bad Guys are trying (very, very hard) to be good, but instead find themselves hijacked into a high-stakes, globe-trotting heist, masterminded by a new team of criminals they never saw coming: The Bad Girls.",24.0,
Warfare,"War, Action",7.144,44.9917,09-04-2025,"D'Pharaoh Woon-A-Tai, Will Poulter, Cosmo Jarvis, Kit Connor, Finn Bennett","A platoon of Navy SEALs embarks on a dangerous mission in Ramadi, Iraq, with the chaos and brotherhood of war retold through their memories of the event.",798.0,
Diablo,"Action, Thriller",7.392,47.6925,13-06-2025,"Scott Adkins, Marko Zaror, Alanna de la Rosa, Diana Hoyos, Lucho Velasco","Ex-con Kris Chaney seizes the daughter of a Colombian gangster to fulfill a noble promise to the young girl's mother. When her father enlists both the criminal underworld and a psychotic killer to exact his revenge, Kris relies on everything he's ever learned to stay alive and keep his word.",110.0,
My Massive Cock,Documentary,6.222,40.717,24-10-2022,"Matt Barr, Julia Davis","An extra-large penis is an object of desire for many. But for some men, extra-large seriously complicates their lives and relationships, and penis reduction surgery seems the only answer.",9.0,
Snow White,"Family, Fantasy",4.295,40.9499,12-03-2025,"Rachel Zegler, Gal Gadot, Andrew Burnap, Andrew Barth Feldman, Jeremy Swift","Following the benevolent King's disappearance, the Evil Queen dominated the once fair land with a cruel streak. Princess Snow White flees the castle when the Queen, in her jealousy over Snow White's inner beauty, tries to kill her. Deep into the dark woods, she stumbles upon seven magical dwarves and a young bandit named Jonathan. Together, they strive to survive the Queen's relentless pursuit and aspire to take back the kingdom.",1310.0,
Until Dawn,"Horror, Drama, Mystery",6.256,13.0328,23-04-2025,"Ella Rubin, Maia Mitchell, Peter Stormare, Michael Cimino, Odessa A'zion","One year after her sister Melanie mysteriously disappeared, Clover and her friends head into the remote valley where she vanished in search of answers. Exploring an abandoned visitor center, they find themselves stalked by a masked killer and horrifically murdered one by one...only to wake up and find themselves back at the beginning of the same evening.",1555.0,
Madea's Destination Wedding,"Comedy, Drama",5.83,38.3606,10-07-2025,"Tyler Perry, Xavier Smalls, Diamond White, Cassi Davis, Tamela Mann",Madea packs her best floral dresses and a whole lot of chaos when the Simmons family heads to the Bahamas for her grandniece's whirlwind wedding.,56.0,
Barron's Cove,"Crime, Thriller, Drama",5.75,43.9427,06-06-2025,"Garrett Hedlund, Hamish Linklater, Brittany Snow, Christian Convery, Tramell Tillman","When his young son is viciously murdered by a classmate, a grieving father with a history of violence kidnaps the child responsible, igniting a frenzied manhunt fueled by a powerful politician -- the father of the kidnapped boy.",4.0,
Smurfs,"Animation, Family, Fantasy",6.434,37.9612,05-07-2025,"Rihanna, James Corden, Nick Offerman, JP Karliak, Dan Levy","When Papa Smurf is mysteriously taken by evil wizards, Razamel and Gargamel, Smurfette leads the Smurfs on a mission into the real world to save him. With the help of new friends, the Smurfs must discover what defines their destiny to save the universe.",50.0,
In Vitro,"Horror, Science Fiction, Thriller",7.8,37.6185,27-03-2025,"Talia Zucker, Ashley Zukerman, Daniel Ciurte, Will Howarth, Stephanie Arezzi","On an isolated cattle farm, a couple experimenting with biotechnology have their lives upended when they discover a disturbing presence on their property.",6.0,
Shadow Force,"Action, Drama, Thriller",6.078,42.4853,01-05-2025,"Kerry Washington, Omar Sy, Jahleel Kamara, Mark Strong, Da'Vine Joy Randolph","Kyrah and Isaac were once the leaders of a multinational special forces group called Shadow Force. They broke the rules by falling in love, and in order to protect their son, they go underground. With a large bounty on their heads, and the vengeful Shadow Force hot on their trail, one family's fight becomes all-out war.",138.0,
Harry Potter and the Philosopher's Stone,"Adventure, Fantasy",7.902,38.6512,16-11-2001,"Daniel Radcliffe, Rupert Grint, Emma Watson, Richard Harris, Tom Felton","Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizardwith a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deathsand about the villain who's to blame.",28437.0,
Inside Out 2,"Animation, Adventure, Comedy, Family",7.553,37.8092,11-06-2024,"Amy Poehler, Maya Hawke, Kensington Tallman, Liza Lapira, Tony Hale","Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, whove long been running a successful operation by all accounts, arent sure how to feel when Anxiety shows up. And it looks like shes not alone.",6020.0,
Fantastic Four,"Action, Fantasy, Science Fiction",5.793,46.8947,29-06-2005,"Ioan Gruffudd, Jessica Alba, Chris Evans, Michael Chiklis, Julian McMahon","During a space voyage, four scientists are altered by cosmic rays: Reed Richards gains the ability to stretch his body; Sue Storm can become invisible; Johnny Storm controls fire; and Ben Grimm is turned into a super-strong  thing. Together, these ""Fantastic Four"" must now thwart the evil plans of Dr. Doom and save the world from certain destruction.",9582.0,
My Fault: London,"Romance, Drama",7.465,36.8595,12-02-2025,"Asha Banks, Matthew Broome, Eve Macklin, Ray Fearon, Enva Lewis","18-year-old Noah moves from America to London, with her mother who's recently fallen in love with William, a wealthy British businessman. Noah meets Williams son, bad-boy Nick, and soon discovers there is an attraction between them neither can avoid. As Noah spends the summer adjusting to her new life, her devastating past will catch up with her while falling in love for the first time.",437.0,
Mufasa: The Lion King,"Adventure, Family, Animation",7.367,36.4762,18-12-2024,"Aaron Pierre, Kelvin Harrison, Jr., Tiffany Boone, Kagiso Lediga, Preston Nyman","Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.",2286.0,
Despicable Me 4,"Family, Comedy, Animation, Science Fiction",7.033,38.6764,20-06-2024,"Steve Carell, Kristen Wiig, Will Ferrell, Sofa Vergara, Miranda Cosgrove","Gru and Lucy and their girlsMargo, Edith and Agneswelcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run.",2862.0,
Gladiator II,"Action, Adventure, Drama",6.681,36.3969,13-11-2024,"Paul Mescal, Denzel Washington, Pedro Pascal, Connie Nielsen, Joseph Quinn","Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people.",3714.0,
Venom: The Last Dance,"Action, Science Fiction, Adventure",6.711,35.4219,22-10-2024,"Tom Hardy, Chiwetel Ejiofor, Juno Temple, Rhys Ifans, Stephen Graham","Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.",3603.0,
The Wild Robot,"Animation, Science Fiction, Family",8.3,34.2072,12-09-2024,"Lupita Nyong'o, Pedro Pascal, Kit Connor, Bill Nighy, Stephanie Hsu","After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",5216.0,
Kayara,"Animation, Adventure, Family",7.619,5.5612,02-01-2025,"Naomi Serrano, Nate Begle, Charles Gonzales","A courageous and athletic teenager, Kayara dreams that she is destined to be the first female to break into the league of Chasquis - the official messengers of the Incan empire. As she learns what it takes to be a Chasqui along with its challenges, she tackles every mission she gets and discovers the ancient stories of her land and her people.",122.0,
