Title,Genres,Rating,Popularity,Release Date,Cast,Overview,Vote_Count,TMDB_ID,Language,release_year,Genres_Source,Moods,Primary_Mood
arjun s/o vyjayanthi,"action, crime, thriller",6.167,1.6172,2025-04-18,"kalyan ram, vijayashanti, saiee manjrekar, sohail khan, arjun rampal","arjun, an ips aspirant turned kind-hearted gangster, learns that pathaan, a notorious terrorist, wants to exact revenge on his principled mother vyjayanthi, an honest ips officer, and sets out to protect vyjayanthi and their bond is put to the test.",3.0,,telugu,2025.0,original,"caring, anger",caring
saaho,"action, adventure, thriller",5.9,1.6157,2019-08-29,"prabhas, shraddha kapoor, neil nitin mukesh, chunky pandey, mandira bedi","a battle for power ensues as warring gangters thrive to gain possession of a ""black box"" that can make them richer than they already are, and an undercover cop intervenes with the help of his sharp intellect and an instinct to kill.",100.0,,telugu,2019.0,original,excitement,excitement
maharshi,"drama, action",7.0,1.5962,2019-05-09,"mahesh babu, pooja hegde, allari naresh, jagapati babu, prakash raj","rishi kumar is a billionaire and the ceo of origins, someone who has always strived for the success he now owns. his friend ravi needs help, how will he come through?",31.0,,telugu,2019.0,original,"sadness, neutral",sadness
srivalli,thriller,6.0,1.4948,2017-09-15,neha hinge,"srivalli is a movie about a neuroscientist srivalli(title role played by neha hinge) who undergoes an experiment about brain wave simulation. the story revolves around the effects and the repercussions she faces once her brain starts reacting to the experiment. srivalli loses track of the past, present and future unable to distinguish between simulation and reality leading to thrilling circumstances.",0.0,,telugu,2017.0,original,"excitement, optimism",excitement
hanu-man,"fantasy, action, comedy, science fiction",6.4,1.4608,2024-01-11,"teja sajja, vinay rai, amritha aiyer, varalaxmi sarathkumar, vennela kishore","in a small village, hanumanthu, a petty thief, finds a mysterious gem, that gives him god-like powers. will he succeed in keeping these powers from falling into the wrong hands and save his village?",27.0,,telugu,2024.0,original,excitement,excitement
ala vaikunthapurramuloo,"action, comedy, drama",6.651,1.2065,2020-01-12,"allu arjun, pooja hegde, murali sharma, jayaram, sushanth","fate plays a vital role in connecting the life of bantu, a son who seeks validation from his cold-hearted father with the life of raj, whose millionaire father wishes that he was more assertive.",93.0,,telugu,2020.0,original,love,love
lucky baskhar,"drama, thriller, crime",7.436,1.2944,2024-10-30,"dulquer salmaan, meenakshi chaudhary, rajkumar kasireddy, ramki, maganti srinath",a cash-strapped bank cashier embarks on a risky investment scheme and soon gets drawn into the murky world of money laundering.,55.0,,telugu,2024.0,original,"sadness, neutral",sadness
evaru,"thriller, crime",7.092,1.1951,2019-08-15,"adivi sesh, regina cassandra, naveen chandra, murali sharma, pavitra lokesh","when a high-ranking police officer is killed by his alleged rape victim, sub-inspector vikram vasudev is entrusted with investigating what seems like an open-and-shut case. however, as he delves deeper, vikram finds the case spiralling into a dark tale filled with unexpected surprises.",38.0,,telugu,2019.0,original,"surprise, approval",surprise
radhe shyam,"drama, romance",5.1,1.2903,2022-03-10,"prabhas, pooja hegde, sachin khedekar, krishnam raju, sathyaraj","vikramaditya, a world-renowned palmist, believes love does not exist in his stars, until he meets prerana. but when destiny tries to pull them apart, will love prevail?",30.0,,telugu,2022.0,original,love,love
eega,"fantasy, action",7.1,1.0563,2012-07-05,"sudeep, samantha ruth prabhu, nani, adithya menon, thagubothu ramesh","nani is a flower decorator, madly in love with his neighbor bindhu. he gets killed by the baddie, sudeep, a powerful businessman. nani comes back as a housefly to get his revenge.",220.0,,telugu,2012.0,original,"anger, excitement",anger
court: state vs. a nobody,"drama, romance, crime",7.625,1.2187,2025-03-14,"priyadarshi pullikonda, harsh roshan, sridevi, sivaji sontineni, sai kumar","a determined lawyer takes on a high-stakes case to defend a 19-year-old boy, challenging a system that has already branded him guilty.",16.0,,telugu,2025.0,original,approval,approval
nagavalli,"action, fantasy, thriller, drama",5.833,1.3552,2010-12-16,"venkatesh, richa gangopadhyay, anushka shetty, poonam kaur, kamalinee mukherjee","after a family member receives a nagavalli/chandramukhi's portrait as a prize in the nagavalli dance competition, various characters start having abnormal experiences. in order to save themselves and unfold the mystery, the family looks to ramachandra acharya and dr. vijay.",12.0,,telugu,2010.0,original,"caring, confusion",caring
eagle,"action, thriller",5.7,1.0742,2024-02-08,"ravi teja, anupama parameswaran, kavya thapar, navdeep, vinay rai","a journalist pieces together the story of eagle, a former professional sniper who falls in love with rachana, and on a mission to redeem himself by working towards eradicating illegal arms from this world.",10.0,,telugu,2024.0,original,love,love
geetha govindam,romance,6.9,1.1302,2018-08-15,"vijay deverakonda, rashmika mandanna, vennela kishore, subbaraju, rahul ramakrishna","vijay govind, a young college lecturer who dreams of marriage falls for geetha, a level-headed woman who's wary of strangers and isn't easy to convince. while things seem to go smoothly, vijay makes a terrible mistake which not only derails any hope for his love story, but also potential repercussions with his family.",71.0,,telugu,2018.0,original,"optimism, caring",optimism
sye,"drama, action",6.0,0.6796,2004-09-26,"nithiin, genelia d'souza, pradeep ram singh rawat, shashank, rajiv kanakala",,0.0,,telugu,2004.0,original,"sadness, neutral",sadness
amigos,drama,6.0,1.8096,2023-02-02,"kalyan ram, ashika ranganath, brahmaji, jayaprakash, saptagiri",,0.0,1301644.0,telugu,2023.0,original,"sadness, neutral",sadness
peddi,"drama, action",6.0,1.122,2026-03-27,"ram charan, janhvi kapoor, shivaraj kumar, jagapati babu, divyendu sharma","in 1980s rural andhra pradesh, a spirited villager unites his community through sports to defend their pride against a powerful rival.",0.0,,telugu,2026.0,original,excitement,excitement
murari,"drama, romance, thriller",6.5,1.0301,2001-02-17,"mahesh babu, sonali bendre, lakshmi, sukumari, kaikala satyanarayana","circa 1800s, an intoxicated jamindar insults durga devi by stealing her temple idol. enraged, devi kills him and places a curse on his heirs that, every 48 years, she will take one family member. and every 48 years, a male heir meets an unfortunate, accidental end. come present day (the end of another 48 years), it's murari's turn.",18.0,,telugu,2001.0,original,"anger, caring",anger
junior,"drama, family",6.0,0.8331,2025-07-18,"kireeti reddy, sreeleela, genelia d'souza, v. ravichandran, sudharani","a free-spirited young man suffocated by his fathers obsessive love escapes to the city in search of freedom, but his carefree attitude soon puts him at odds with his emotionally distant corporate boss. he embarks on a heartwarming journey of redemption and connection discovering the true depth of sacrifice love and the fleeting nature of time.",1.0,,telugu,2025.0,original,"caring, love",caring
ammu,drama,8.1,1.0388,2022-10-19,"aishwarya lekshmi, naveen chandra, bobby simha, maala parvathi, satya krishnan","ammu's thought marriage was a fairy tale full of love and magic, ends when her cop-husband ravi hit her for the very first time. what ammu thought was a one-off incident soon turned into a never-ending cycle of abuse, trapping her and breaking her soul and spirit. pushed to her limits, ammu teams up with an unlikely ally to break free.",9.0,,telugu,2022.0,original,love,love
vimanam,"drama, family",8.0,0.923,2023-06-09,"samuthirakani, master dhruvan, anasuya bharadwaj, meera jasmine, rahul ramakrishna","differently abled and single parent veerayya, with limited financial resources embarks on an endless pursuit to make his son raju's biggest dream of traveling on an aeroplane come true.",1.0,,telugu,2023.0,original,optimism,optimism
magadheera,action,7.23,2.0986,2009-07-31,"ram charan, kajal agarwal, dev gill, srihari, sunil varma","a street-bike racer chances upon a woman and is struck by visions of a past life where they were both star-crossed lovers in a war-ridden kingdom 400 years ago, while the reincarnation of his romantic rival emerges with murderous intent.",148.0,,telugu,2009.0,original,love,love
daaku maharaaj,action,5.2,1.0389,2025-01-12,"nandamuri balakrishna, bobby deol, pragya jaiswal, shraddha srinath, vedha agarwal",a violent outlaw takes a job as a personal driver in order to protect the life of a little girl.,13.0,,telugu,2025.0,original,caring,caring
show time,"comedy, thriller",4.0,1.0185,2025-07-04,"naveen chandra, kamakshi bhaskarla, raja ravindra, naresh","""show time"" is a gripping thriller that explores how an accidental murder shatters the lives of a middle-class family. the story follows a seemingly ordinary family whose world turns upside down when a momentary lapse in judgment leads to an unintended crime. as they struggle to cover up the incident, they are pulled into a web of lies, guilt, and paranoia, testing their bonds and morals.",1.0,,telugu,2025.0,original,caring,caring
jathi ratnalu,"comedy, drama",7.239,1.0088,2021-03-11,"naveen polishetty, priyadarshi pullikonda, rahul ramakrishna, faria abdullah, murali sharma","srikanth and his friends sekhar and ravi head to the city in pursuit of some izzat. once there, they realise that maybe they were better off back home in jogipet.",23.0,,telugu,2021.0,original,"joy, amusement",joy
maska,"action, romance",5.125,1.0054,2009-01-14,"ram pothineni, mukesh rishi, hansika motwani, sheela kaur, brahmanandam","krish is a happy-go-lucky guy who lives with his brother and sister-in-law. he woos a girl named manju. manju happens to be the daughter of a mla simhachalam. krish's only intention is to become rich by marrying her and doesn't have any feelings whatsoever toward her. he also meets a girl called meenakshi, aka meenu ; he starts to like her for real and falls in love with her. meanwhile, simhachalam and shinde run against each other in a presidential election in delhi. shinde is a man of misdeeds. shinde tries to find faults in simhachalam's personal life so that he can expose him in front of the high command of the party, so that his route will be clear to get the party ticket. shinde comes to learn that simhachalam has another wife (sita) and a daughter who live in hyderabad. he sends his men to find them. .",4.0,,telugu,2009.0,original,"joy, love",joy
sarileru neekevvaru,action,6.2,0.9729,2020-01-10,"mahesh babu, vijayashanti, rashmika mandanna, prakash raj, sangeetha krish",a tough army major is deployed to kurnool on a mission to keep the country safe from external threats.,56.0,,telugu,2020.0,original,"excitement, anger",excitement
they call him og,"action, thriller",6.0,0.9665,2025-09-25,"pawan kalyan, emraan hashmi, priyanka arul mohan, prakash raj, sriya reddy","og revolves around a ruthless gangster named ojas gambheera ""og"" who returns to mumbai after disappearing for 10 years on a personal crusade to finish crime bosses.",0.0,,telugu,2025.0,original,sadness,sadness
thandel,"romance, action, drama, thriller",6.7,0.9645,2025-02-07,"naga chaitanya akkineni, sai pallavi, sundip ved, prakash belawadi, kalpalatha","fisherman raju is deeply in love with satya. however, at one point, she urges him to stop going to the sea and look for other jobs. ignoring her plea, raju ventures out and accidentally drifts into pakistani waters, where he is arrested.",12.0,,telugu,2025.0,original,love,love
rx 100,"drama, action, romance",5.5,0.9557,2018-07-12,"kartikeya gummakonda, payal rajput, rao ramesh, ramki, laxman meesala","when a city-bred girl comes home to her village, she falls for the macho village boy and asks him out. as a passionate romance brews, the guy falls madly in love with her, but does she feel the same way? or is it just a passionate summer fling?",23.0,,telugu,2018.0,original,love,love
yevadu,"action, thriller",6.2,0.9527,2014-01-12,"ram charan, sai kumar, jayasudha, shruti haasan, amy jackson","satya is given a different face after he suffers burn-related injuries. after being released from the hospital, he deals with the murderer of his lover deepti. but his new face has given him new foes.",59.0,,telugu,2014.0,original,love,love
vinaya vidheya rama,"action, drama",4.0,0.9301,2019-01-11,"ram charan, kiara advani, vivek oberoi, sneha, prashanth","ram is one among the five orphaned boys in visakhapatnam, adopted by a doctor who ensures them a roof to live under, with dignity. ram goes to any extent to protect his family and he's a handful for the baddie to handle in a time of crisis. how does ram protect his family when they need him the most?",24.0,,telugu,2019.0,original,caring,caring
major,"action, history, drama",6.986,0.9299,2022-06-03,"adivi sesh, saiee manjrekar, sobhita dhulipala, murali sharma, prakash raj","this biopic follows the life of indian army officer major sandeep unnikrishnan, from his childhood to his heroic actions during the 2008 mumbai attacks.",36.0,,telugu,2022.0,original,approval,approval
dragon,horror,6.0,1.938,2026-03-04,"n.t. rama rao jr., tovino thomas, rukmini vasanth, nasaar",,0.0,1532438.0,telugu,2026.0,original,"fear, surprise",fear
rrr: behind & beyond,documentary,5.7,0.9249,2024-12-20,"s. s. rajamouli, n.t. rama rao jr., ram charan, ajay devgn, alia bhatt","an in-depth look at the making of s.s. rajamouli's magnum opus, rrr, with behind-the-scenes footage and exclusive interviews. explores the vision, challenges, and dedication involved in creating this cinematic phenomenon.",3.0,,telugu,2024.0,original,neutral,neutral
agent,"science fiction, action",7.0,0.4634,2023-02-25,"akhil akkineni, mammootty, dino morea, sakshi vaidya, sampath raj",,1.0,1558118.0,telugu,2023.0,original,"excitement, anger",excitement
the ghazi attack,"action, war, thriller, history",7.066,0.9076,2017-02-17,"kay kay menon, rana daggubati, atul kulkarni, taapsee pannu, amitabh bachchan",indias first underwater war film tries to decode the mystery behind the sinking of pakistani submarine pns ghazi during the indo-pak war of 1971.,91.0,,telugu,2017.0,original,confusion,confusion
sivudu,"action, thriller, crime",6.0,0.4582,2022-12-21,"aadhi pinisetty, nikki galrani, aakanksha singh, sunil varma, harish uthaman",,0.0,,telugu,2022.0,original,"excitement, anger",excitement
bachhala malli,"action, drama",4.5,0.7274,2024-12-20,"allari naresh, amritha aiyer, hari teja, rohini, rao ramesh","the story is set in the 1990s and follows the emotional and action-filled journey of bachhala malli, a rural hero. the narrative combines intense drama with romance, focusing on the protagonists challenges and personal growth in a rustic backdrop.",2.0,,telugu,2024.0,original,"approval, excitement",approval
saripodhaa sanivaaram,"action, thriller",6.8,1.1657,2024-08-29,"nani, s. j. suryah, priyanka arul mohan, sai kumar, murali sharma","set in sokulapalem, bound by a promise to his mother, surya, an lic agent leads a normal life on six days, maintains a careful ledger of everyone made him angry,unleashing his anger only on saturdays, solely for justifiable reasons. a tragic incident pits him on a collision course with the ruthless and borderline-manic cop daya.",21.0,,telugu,2024.0,original,"anger, caring",anger
liger,"action, romance",4.375,0.8772,2022-08-25,"vijay deverakonda, ananya panday, ramya krishnan, ronit roy, makrand deshpande","the journey of liger, from karimnagar to mumbai, from a nobody to a competitor, in his search for recognition while navigating his weaknesses, relationships, and love life.",32.0,,telugu,2022.0,original,love,love
yashoda,"crime, thriller, drama",6.2,0.853,2022-11-11,"samantha ruth prabhu, varalaxmi sarathkumar, unni mukundan, madhurima narla, rao ramesh","looking to save her sister, yashoda, a desperate woman agrees to be a surrogate and move in to a plush facility - but nothing is as it seems. in the world outside eva, a hollywood starlet dies under mysterious circumstances, so do a tycoon and a super model. an unknown drug seem to hold the key to the whole mystery.",16.0,,telugu,2022.0,original,confusion,confusion
yamadonga,"fantasy, action, comedy",6.2,0.8857,2007-08-15,"n.t. rama rao jr., priyamani, mamta mohandas, mohan babu, brahmanandam","raja, an orphaned thief, dies while helping a gang in kidnapping a wealthy heiress, mahi, in exchange of money. he then lands in yamlok and fights with yama, the god of death, to get his life back.",24.0,,telugu,2007.0,original,sadness,sadness
amar akbar anthony,"action, drama",4.333,0.7984,2018-10-26,"ravi teja, ileana d'cruz, sayaji shinde, abhimanyu singh, vikramjeet virk",a man with dissociative identity disorder takes revenge on four businessmen for the murder of his family.,12.0,,telugu,2018.0,original,"anger, caring",anger
saakini daakini,"action, adventure, comedy",5.8,0.7466,2022-09-16,"regina cassandra, nivetha thomas, rj hemant, lahari shari, prudhviraj",two trainee female police officers find themselves in an endless race against time after they witness a kidnapping and decide to use their knowledge.,13.0,,telugu,2022.0,original,"excitement, anger",excitement
hit: the first case,"crime, thriller, action",6.6,1.4435,2020-02-27,"vishwak sen, ruhani sharma, murali sharma, bhanuchander, brahmaji",,39.0,,telugu,2020.0,original,"anger, excitement",anger
nenu local,"action, comedy",5.795,0.8568,2017-02-03,"nani, keerthy suresh, naveen chandra, sachin khedekar, tulasi","this story is about a happy-go-lucky young man, babu, who falls in love with a girl. however, he runs into a problem while convincing her father to permit them to be together.",22.0,,telugu,2017.0,original,"joy, love",joy
